Feature Name,Ontology Concept,Pyradiomics_Stem_Name,IBSI_Feature_Name,Unit,Feature type
Fmorph.vol,ro:RNU0,original_shape_MeshVolume,Fmorph.vol,mm(3),Morphologic features
Fmorph.area,ro:C0JK,original_shape_SurfaceArea,Fmorph.area,mm(2),Morphologic features
Fmorph.av,ro:2PR5,original_shape_SurfaceVolumeRatio,Fmorph.av,mm(2/3),Morphologic features
Fmorph.sph.sphericity,ro:QCFX,original_shape_Sphericity,Fmorph.sph.sphericity,,Morphologic features
Fmorph.diam,ro:L0JK,original_shape_Maximum3DDiameter,Fmorph.diam,mm,Morphologic features
Fmorph.pca.major,ro:TDIC,original_shape_MajorAxisLength,Fmorph.pca.major,,Morphologic features
Fmorph.pca.minor,ro:P9VJ,original_shape_MinorAxisLength,Fmorph.pca.minor,mm,Morphologic features
Fmorph.pca.least,ro:7J51,original_shape_LeastAxisLength,Fmorph.pca.least,,Morphologic features
Fmorph.pca.elongation,ro:Q3CK,original_shape_Elongation,Fmorph.pca.elongation,,Morphologic features
Fmorph.pca.flatness,ro:N17B,original_shape_Flatness,Fmorph.pca.flatness,,Morphologic features
Fmorph.pyrad.diam.max2Dslice,ro:4S59,original_shape_Maximum2DDiameterSlice,Fmorph.pyrad.diam.max2Dslice,mm,Morphologic features
Fmorph.pyrad.diam.max2Dcolumn,ro:5ABU,original_shape_Maximum2DDiameterColumn,Fmorph.pyrad.diam.max2Dcolumn,mm,Morphologic features
Fmorph.pyrad.diam.max2Drow,ro:9SCJ,original_shape_Maximum2DDiameterRow,Fmorph.pyrad.diam.max2Drow,mm,Morphologic features
Fstat.mean,ro:Q4LE,original_firstorder_Mean,Fstat.mean,HU,Intensity-based statistical features
Fstat.var,ro:ECT3,original_firstorder_Variance,Fstat.var,HU(2),Intensity-based statistical features
Fstat.skew,ro:KE2A,original_firstorder_Skewness,Fstat.skew,,Intensity-based statistical features
Fstat.kurt,ro:IPH6,original_firstorder_Kurtosis,Fstat.kurt,,Intensity-based statistical features
Fstat.median,ro:Y12H,original_firstorder_Median,Fstat.median,HU,Intensity-based statistical features
Fstat.min,ro:1GSF,original_firstorder_Minimum,Fstat.min,HU,Intensity-based statistical features
Fstat.P10,ro:QG58,original_firstorder_10Percentile,Fstat.P10,HU,Intensity-based statistical features
Fstat.P90,ro:8DWT,original_firstorder_90Percentile,Fstat.P90,HU,Intensity-based statistical features
Fstat.iqr,ro:SALO,original_firstorder_InterquartileRange,Fstat.iqr,HU,Intensity-based statistical features
Fstat.range,ro:2OJQ,original_firstorder_Range,Fstat.range,HU,Intensity-based statistical features
Fstat.mad,ro:4FUA,original_firstorder_MeanAbsoluteDeviation,Fstat.mad,HU,Intensity-based statistical features
Fstat.rmad,ro:1128,original_firstorder_RobustMeanAbsoluteDeviation,Fstat.rmad,HU,Intensity-based statistical features
Fstat.energy,ro:N8CA,original_firstorder_Energy,Fstat.energy,HU(2),Intensity-based statistical features
Fstat.rms,ro:5ZWQ,original_firstorder_RootMeanSquared,Fstat.rms,,Intensity-based statistical features
Fih.max,ro:3NCY,original_firstorder_Maximum,Fih.max,HU,Intensity histogram features
Fih.entropy,ro:TLU2,original_firstorder_Entropy,Fih.entropy,,Intensity histogram features
Fih.uniformity,ro:BJ5W,original_firstorder_Uniformity,Fih.uniformity,,Intensity histogram features
Fcm.joint.max,ro:GYBY,original_glcm_MaximumProbability,Fcm.joint.max,,Gray-level co-occurrence matrix
Fcm.joint.avg,ro:60VM,original_glcm_JointAverage,Fcm.joint.avg,,Gray-level co-occurrence matrix
Fcm.joint.entr,ro:TU9B,original_glcm_JointEntropy,Fcm.joint.entr,,Gray-level co-occurrence matrix
Fcm.diff.avg,ro:TF7R,original_glcm_DifferenceAverage,Fcm.diff.avg,,Gray-level co-occurrence matrix
Fcm.diff.var,ro:D3YU,original_glcm_DifferenceVariance,Fcm.diff.var,,Gray-level co-occurrence matrix
Fcm.diff.entr,ro:NTRS,original_glcm_DifferenceEntropy,Fcm.diff.entr,,Gray-level co-occurrence matrix
Fcm.sum.var,ro:OEEB,original_glcm_SumSquares,Fcm.sum.var,,Gray-level co-occurrence matrix
Fcm.sum.entr,ro:P6QZ,original_glcm_SumEntropy,Fcm.sum.entr,,Gray-level co-occurrence matrix
Fcm.sum.energy,ro:8ZQL,original_glcm_JointEnergy,Fcm.sum.energy,,Gray-level co-occurrence matrix
Fcm.sum.contrast,ro:ACUI,original_glcm_Contrast,Fcm.sum.contrast,,Gray-level co-occurrence matrix
Fcm.inv.diff,ro:IB1Z,original_glcm_Id,Fcm.inv.diff,,Gray-level co-occurrence matrix
